id,sex,employment,marital,income,social1
100001,1,employed,1,7787,.50012118
100002,1,retired,1,9286,.049724132
100003,1,employed,1,25586,.51473433
100004,1,employed,1,57661,.44117898
100005,1,retired,0,3943,0
100006,1,student,0,3840,.83624548
100007,1,employed,1,25101,.22507717
100008,1,unemployed,1,0,.63046014
100009,1,unemployed,0,28200,.87553918
100010,1,employed,0,9654,.83404779
100011,1,employed,0,5478,0
100012,1,unemployed,1,0,0
100013,1,employed,1,8929,.19993705
100014,1,employed,1,10829,.5227617
100015,1,employed,1,18533,.91297716
100016,1,employed,1,10462,.34231773
100017,1,retired,1,9362,0
100018,0,employed,1,8403,.94802475
100019,0,student,0,24267,.56453484
100020,1,employed,1,15780,.61758107
100021,1,retired,1,15790,0
100022,1,employed,0,8365,.02283236
100023,1,employed,0,39611,0
100024,1,employed,0,19831,.16652073
100025,0,retired,1,2679,.26923439
100026,1,unemployed,0,10643,.26962554
100027,1,employed,1,8130,.52335507
100028,0,employed,1,4872,.63806695
100029,1,student,0,3231,.99751484
100030,0,retired,0,13917,.28946543
100031,1,unemployed,1,7280,.69145209
100032,0,employed,1,6131,.56055504
100033,0,employed,1,5591,.12249574
100034,1,retired,1,16299,.3586829
100035,1,employed,1,8467,.18631124
100036,1,unemployed,1,19345,.066549532
100037,0,student,1,0,.9896698
100038,1,employed,1,13554,.73510385
100039,1,employed,0,7411,.18919857
100040,1,employed,0,6791,.42221981
100041,1,student,0,0,.87620217
100042,1,employed,1,9401,0
100043,1,employed,1,10841,.64270025
100044,1,employed,1,7533,.6989724
100045,1,employed,1,24685,.75796968
100046,1,unemployed,1,13178,.67751056
100047,0,retired,1,81650,.23557758
100048,1,retired,1,6842,0
100049,1,student,0,12221,.98717731
100050,1,employed,1,20192,0
100051,1,employed,1,15656,.76973522
100052,0,unemployed,1,8554,0
100053,1,employed,1,10746,.71209919
100054,1,employed,0,45164,.54344308
100055,1,employed,1,10751,.12400742
100056,1,employed,0,54400,.51161253
100057,1,retired,1,8319,.026432985
100058,1,employed,0,11887,0
100059,1,employed,0,23740,.0075743361
100060,0,retired,0,10901,.22396596
100061,1,retired,1,9872,0
100062,0,employed,0,20679,.31423292
100063,1,student,0,0,.98612773
100064,0,unemployed,1,21281,0
100065,1,employed,0,8398,0
100066,0,employed,1,6257,0
100067,0,employed,1,16311,.59501845
100068,1,employed,1,7802,0
100069,1,employed,1,31099,.58438689
100070,1,employed,1,6773,.14958806
100071,1,employed,1,31490,.81119919
